datetime,Temp,Supply_MW,Humidity,wind_speed
2017-01-25 11:00,269.189,11,81,1
2017-01-25 12:00,269.189,11,81,1
2017-01-25 13:00,269.189,11,81,1
2017-01-25 14:00,272.475,11,91,2
2017-01-25 15:00,274.769,11,91,4
2017-01-25 16:00,276.34,11,86,4
2017-01-25 17:00,277.15,11,86,5
2017-01-25 18:00,277.57,11,86,5
2017-01-25 19:00,277.55,11,80,4
2017-01-25 20:00,277.37,11,86,2
2017-01-25 21:00,277.37,11,86,4
2017-01-25 22:00,276.98,11,86,1
2017-01-25 23:00,276.96,11,86,1
2017-01-26 0:00,276.75,11,86,1
2017-01-26 1:00,276.17,11,93,1
2017-01-26 2:00,275.75,12,93,1
2017-01-26 3:00,275.56,12,100,1
2017-01-26 4:00,275.38,12,100,1
2017-01-26 5:00,275.66,11,93,1
2017-01-26 6:00,275.38,11,100,1
2017-01-26 7:00,275.63,11,93,1
2017-01-26 8:00,275.66,11,100,2
2017-01-26 9:00,275.87,11,100,2
2017-01-26 10:00,276.41,11,100,2
2017-01-26 11:00,276.43,11,100,2
2017-01-26 12:00,276.36,11,93,4
2017-01-26 13:00,276.15,11,93,7
2017-01-26 14:00,276.17,11,93,4
2017-01-26 15:00,275.94,11,93,2
2017-01-26 16:00,276.17,11,93,6
2017-01-26 17:00,276.38,11,94,5
2017-01-26 18:00,276.37,11,80,6
2017-01-26 19:00,276.37,11,94,6
2017-01-26 20:00,276.17,11,80,6
2017-01-26 21:00,275.97,11,80,4
2017-01-26 22:00,275.94,11,69,5
2017-01-26 23:00,275.94,11,69,6
2017-01-27 0:00,275.76,11,74,6
2017-01-27 1:00,275.56,11,80,5
2017-01-27 2:00,275.15,12,74,7
2017-01-27 3:00,275.35,12,74,2
2017-01-27 4:00,275.4,12,74,4
2017-01-27 5:00,274.65,12,80,7
2017-01-27 6:00,274.66,12,69,8
2017-01-27 7:00,273.9,11,59,9
2017-01-27 8:00,273.42,11,69,12
2017-01-27 9:00,273.15,11,78,6
2017-01-27 10:00,273.14,11,59,10
2017-01-27 11:00,272.88,11,59,10
2017-01-27 12:00,272.39,11,78,9
2017-01-27 13:00,272.76,11,78,8
2017-01-27 14:00,272.92,11,74,10
2017-01-27 15:00,273.35,11,74,10
2017-01-27 16:00,274.12,11,64,9
2017-01-27 17:00,274.92,11,64,7
2017-01-27 18:00,274.54,11,64,10
2017-01-27 19:00,274.14,11,64,8
2017-01-27 20:00,274.38,11,74,10
2017-01-27 21:00,274.55,11,64,10
2017-01-27 22:00,274.37,11,79,4
2017-01-27 23:00,273.77,11,81,4
2017-01-28 0:00,273.15,11,80,4
2017-01-28 1:00,273.33,11,74,10
2017-01-28 2:00,272.92,12,69,9
2017-01-28 3:00,272.95,12,69,9
2017-01-28 4:00,272.4,11,86,5
2017-01-28 5:00,272.4,12,81,7
2017-01-28 6:00,272.39,12,81,10
2017-01-28 7:00,272.39,12,81,10
2017-01-28 8:00,272.17,12,74,4
2017-01-28 9:00,271.88,11,85,9
2017-01-28 10:00,271.92,11,79,5
